2020-06-25 05:52:10,442, aq_xform_event, INFO, Transformation of co_daily_summary completed, reduced dataset from 11707512 to 3107287 in 178.375068 seconds.
2020-06-25 05:55:21,612, aq_xform_event, INFO, Transformation of haps_daily_summary completed, reduced dataset from 9763165 to 6973317 in 191.169638 seconds.
2020-06-25 05:55:58,723, aq_xform_event, INFO, Transformation of lead_daily_summary completed, reduced dataset from 876284 to 394308 in 37.110883 seconds.
2020-06-25 05:57:46,726, aq_xform_event, INFO, Transformation of no2_daily_summary completed, reduced dataset from 5163142 to 3015152 in 108.002211 seconds.
2020-06-25 06:00:17,205, aq_xform_event, INFO, Transformation of nonoxnoy_daily_summary completed, reduced dataset from 8092000 to 4676787 in 150.478572 seconds.
2020-06-25 06:04:03,334, aq_xform_event, INFO, Transformation of o3_daily_summary completed, reduced dataset from 12441972 to 7369510 in 226.128596 seconds.
2020-06-25 06:05:41,507, aq_xform_event, INFO, Transformation of pm10_mass_daily_summary completed, reduced dataset from 4799421 to 2450468 in 98.172644 seconds.
2020-06-25 06:07:30,929, aq_xform_event, INFO, Transformation of pm10_speciation_daily_summary completed, reduced dataset from 5409036 to 3377931 in 109.421363 seconds.
2020-06-25 06:09:04,243, aq_xform_event, INFO, Transformation of pm25_frm_daily_summary completed, reduced dataset from 5421742 to 2451386 in 93.313118 seconds.
2020-06-25 06:10:30,436, aq_xform_event, INFO, Transformation of pm25_nonfrm_daily_summary completed, reduced dataset from 5070603 to 2011670 in 86.193571 seconds.
2020-06-25 06:25:58,402, aq_xform_event, INFO, Transformation of pm25_speciation_daily_summary completed, reduced dataset from 51108860 to 40100889 in 927.965583 seconds.
2020-06-25 06:26:57,108, aq_xform_event, INFO, Transformation of pressure_daily_summary completed, reduced dataset from 2071063 to 1468463 in 58.705264 seconds.
2020-06-25 06:28:16,085, aq_xform_event, INFO, Transformation of rh_and_dp_daily_summary completed, reduced dataset from 3311201 to 2207481 in 78.976148 seconds.
2020-06-25 06:31:42,506, aq_xform_event, INFO, Transformation of so2_daily_summary completed, reduced dataset from 17630937 to 4933303 in 206.420933 seconds.
2020-06-25 06:33:52,000, aq_xform_event, INFO, Transformation of temperature_daily_summary completed, reduced dataset from 7113997 to 3640477 in 129.493166 seconds.
2020-06-25 06:41:20,964, aq_xform_event, INFO, Transformation of voc_daily_summary completed, reduced dataset from 26403480 to 16388959 in 448.963672 seconds.
2020-06-25 06:44:24,399, aq_xform_event, INFO, Transformation of wind_daily_summary completed, reduced dataset from 10474281 to 5526891 in 183.434323 seconds.
